cell_id,node_id,f_veg,f_topo,ndmi_last,ndmi_fecha
r23c6,42.6_1.5,1.17258,0.986704,-0.0291,2026-06-25
r23c8,42.6_1.5,1.121567,1.064582,0.0269,2026-06-25
r23c7,42.6_1.5,1.121111,1.070352,0.0274,2026-06-25
r23c9,42.6_1.5,1.104441,1.037123,0.0457,2026-06-25
r24c10,42.7_1.5,1.045684,1.03123,0.1102,2026-06-25
r24c11,42.7_1.5,1.100251,1.049157,0.0503,2026-06-25
r24c8,42.7_1.5,1.072831,0.959345,0.0804,2026-06-25
r24c13,42.7_1.6,1.2,0.987216,-0.0966,2026-06-25
r24c5,42.6_1.5,1.134229,1.02198,0.013,2026-06-25
r24c6,42.7_1.5,1.123389,1.045139,0.0249,2026-06-25
r24c7,42.7_1.5,1.040401,1.004226,0.116,2026-06-25
r23c5,42.6_1.5,1.164564,1.010194,-0.0203,2026-06-25
r24c12,42.7_1.6,1.091232,1.003243,0.0602,2026-06-25
r23c13,42.6_1.6,1.106809,0.987908,0.0431,2026-06-25
r4c10,42.5_1.5,1.2,0.981748,-0.0646,2026-06-25
r23c11,42.6_1.5,1.046049,0.968733,0.1098,2026-06-25
r23c10,42.6_1.5,1.128672,1.018176,0.0191,2026-06-25
r22c9,42.6_1.5,0.987839,1.048092,0.1737,2026-06-25
r22c8,42.6_1.5,0.928627,1.017566,0.2387,2026-06-25
r22c7,42.6_1.5,0.97135,1.002659,0.1918,2026-06-25
r22c6,42.6_1.5,1.045502,0.977062,0.1104,2026-06-25
r22c5,42.6_1.5,1.108813,1.001909,0.0409,2026-06-25
r22c4,42.6_1.5,1.169847,1.019949,-0.0261,2026-06-25
r22c14,42.6_1.6,1.146436,1.002294,-0.0004,2026-06-25
r22c13,42.6_1.6,1.134411,1.023544,0.0128,2026-06-25
r22c12,42.6_1.6,0.997222,1.024933,0.1634,2026-06-25
r24c9,42.7_1.5,1.109907,1.033483,0.0397,2026-06-25
r22c11,42.6_1.6,1.031018,1.059962,0.1263,2026-06-25
r23c12,42.6_1.6,1.017354,1.030072,0.1413,2026-06-25
r2c10,42.5_1.5,0.970348,1.001054,0.1929,2026-06-25
r3c9,42.5_1.5,0.998406,1.047013,0.1621,2026-06-25
r2c12,42.5_1.6,1.185789,1.011531,-0.0436,2026-06-25
r22c10,42.6_1.5,1.08194,1.04469,0.0704,2026-06-25
r3c8,42.5_1.5,0.969893,1.00893,0.1934,2026-06-25
r3c7,42.5_1.5,0.975268,0.980694,0.1875,2026-06-25
r3c6,42.5_1.5,1.03785,0.994966,0.1188,2026-06-25
r3c5,42.5_1.5,1.062173,1.053714,0.0921,2026-06-25
r3c4,42.5_1.5,1.039581,1.07646,0.1169,2026-06-25
r3c3,42.5_1.5,1.022091,1.039109,0.1361,2026-06-25
r3c2,42.5_1.4,0.931815,0.987337,0.2352,2026-06-25
r3c19,42.5_1.7,1.154361,1.014579,-0.0091,2026-06-25
r3c18,42.5_1.6,1.161376,1.018663,-0.0168,2026-06-25
r3c17,42.5_1.6,1.188249,1.009549,-0.0463,2026-06-25
r3c16,42.5_1.6,1.175313,0.996558,-0.0321,2026-06-25
r3c15,42.5_1.6,1.135687,1.007651,0.0114,2026-06-25
r3c14,42.5_1.6,1.139148,0.982984,0.0076,2026-06-25
r3c13,42.5_1.6,1.177499,0.964232,-0.0345,2026-06-25
r3c12,42.5_1.6,1.161193,0.963195,-0.0166,2026-06-25
r3c11,42.5_1.6,1.161376,1.006418,-0.0168,2026-06-25
r3c10,42.5_1.5,1.066818,1.057209,0.087,2026-06-25
r2c9,42.5_1.5,0.974994,0.99701,0.1878,2026-06-25
r2c8,42.5_1.5,0.918333,0.99968,0.25,2026-06-25
r2c7,42.5_1.5,0.983011,1.00045,0.179,2026-06-25
r2c6,42.5_1.5,0.950216,0.9814,0.215,2026-06-25
r2c5,42.5_1.5,1.028923,1.022658,0.1286,2026-06-25
r2c4,42.5_1.5,0.968435,0.975586,0.195,2026-06-25
r2c3,42.5_1.5,0.898839,1.005143,0.2714,2026-06-25
