node_id,fecha,ffmc,dmc,dc
42.5_1.7,2026-06-25,67.67,11.81,114.34
42.6_1.8,2026-06-25,87.35,25.01,121.89
42.6_1.7,2026-06-25,80.92,25.56,158.11
42.6_1.6,2026-06-25,81.7,17.91,142.82
42.6_1.5,2026-06-25,84.63,21.96,143.93
42.6_1.4,2026-06-25,84.5,21.52,141.25
42.5_1.6,2026-06-25,81.26,17.18,137.16
42.5_1.5,2026-06-25,91.01,57.15,278.8
42.5_1.4,2026-06-25,82.2,17.27,151.58
42.4_1.6,2026-06-25,89.65,49.08,238.21
42.4_1.5,2026-06-25,89.9,51.0,247.97
42.4_1.4,2026-06-25,90.72,55.21,269.25
42.7_1.5,2026-06-25,90.27,31.07,150.87
42.7_1.6,2026-06-25,85.99,24.23,126.77
